ID,Name,Category,Path
block,block,isoflow,isoflow/block.svg
cache,cache,isoflow,isoflow/cache.svg
cardterminal,cardterminal,isoflow,isoflow/cardterminal.svg
cloud,cloud,isoflow,isoflow/cloud.svg
cronjob,cronjob,isoflow,isoflow/cronjob.svg
cube,cube,isoflow,isoflow/cube.svg
desktop,desktop,isoflow,isoflow/desktop.svg
diamond,diamond,isoflow,isoflow/diamond.svg
dns,dns,isoflow,isoflow/dns.svg
document,document,isoflow,isoflow/document.svg
firewall,firewall,isoflow,isoflow/firewall.svg
function-module,function-module,isoflow,isoflow/function-module.svg
image,image,isoflow,isoflow/image.svg
laptop,laptop,isoflow,isoflow/laptop.svg
loadbalancer,loadbalancer,isoflow,isoflow/loadbalancer.svg
lock,lock,isoflow,isoflow/lock.svg
mail,mail,isoflow,isoflow/mail.svg
mailmultiple,mailmultiple,isoflow,isoflow/mailmultiple.svg
mobiledevice,mobiledevice,isoflow,isoflow/mobiledevice.svg
office,office,isoflow,isoflow/office.svg
package-module,package-module,isoflow,isoflow/package-module.svg
paymentcard,paymentcard,isoflow,isoflow/paymentcard.svg
plane,plane,isoflow,isoflow/plane.svg
printer,printer,isoflow,isoflow/printer.svg
pyramid,pyramid,isoflow,isoflow/pyramid.svg
queue,queue,isoflow,isoflow/queue.svg
router,router,isoflow,isoflow/router.svg
server,server,isoflow,isoflow/server.svg
speech,speech,isoflow,isoflow/speech.svg
sphere,sphere,isoflow,isoflow/sphere.svg
storage,storage,isoflow,isoflow/storage.svg
switch-module,switch-module,isoflow,isoflow/switch-module.svg
tower,tower,isoflow,isoflow/tower.svg
truck-2,truck-2,isoflow,isoflow/truck-2.svg
truck,truck,isoflow,isoflow/truck.svg
user,user,isoflow,isoflow/user.svg
vm,vm,isoflow,isoflow/vm.svg
_aws_,_aws_,aws,aws/_aws_.svg
aws-activate,aws-activate,aws,aws/aws-activate.svg
aws-alexa-for-business,aws-alexa-for-business,aws,aws/aws-alexa-for-business.svg
aws-amplify,aws-amplify,aws,aws/aws-amplify.svg
aws-analytics,aws-analytics,aws,aws/aws-analytics.svg
aws-apache-mxnet-on-aws,aws-apache-mxnet-on-aws,aws,aws/aws-apache-mxnet-on-aws.svg
aws-api-gateway,aws-api-gateway,aws,aws/aws-api-gateway.svg
aws-app-mesh,aws-app-mesh,aws,aws/aws-app-mesh.svg
aws-app-runner,aws-app-runner,aws,aws/aws-app-runner.svg
aws-appconfig,aws-appconfig,aws,aws/aws-appconfig.svg
aws-appflow,aws-appflow,aws,aws/aws-appflow.svg
aws-application-auto-scaling,aws-application-auto-scaling,aws,aws/aws-application-auto-scaling.svg
aws-application-cost-profiler,aws-application-cost-profiler,aws,aws/aws-application-cost-profiler.svg
aws-application-discovery-service,aws-application-discovery-service,aws,aws/aws-application-discovery-service.svg
aws-application-integration,aws-application-integration,aws,aws/aws-application-integration.svg
aws-application-migration-service,aws-application-migration-service,aws,aws/aws-application-migration-service.svg
aws-appstream,aws-appstream,aws,aws/aws-appstream.svg
aws-appsync,aws-appsync,aws,aws/aws-appsync.svg
aws-artifact,aws-artifact,aws,aws/aws-artifact.svg
aws-athena,aws-athena,aws,aws/aws-athena.svg
aws-audit-manager,aws-audit-manager,aws,aws/aws-audit-manager.svg
aws-augmented-ai-a2i,aws-augmented-ai-a2i,aws,aws/aws-augmented-ai-a2i.svg
aws-aurora,aws-aurora,aws,aws/aws-aurora.svg
aws-auto-scaling,aws-auto-scaling,aws,aws/aws-auto-scaling.svg
aws-backint-agent,aws-backint-agent,aws,aws/aws-backint-agent.svg
aws-backup,aws-backup,aws,aws/aws-backup.svg
aws-batch,aws-batch,aws,aws/aws-batch.svg
aws-billing-conductor,aws-billing-conductor,aws,aws/aws-billing-conductor.svg
aws-blockchain,aws-blockchain,aws,aws/aws-blockchain.svg
aws-bottlerocket,aws-bottlerocket,aws,aws/aws-bottlerocket.svg
aws-braket,aws-braket,aws,aws/aws-braket.svg
aws-budgets,aws-budgets,aws,aws/aws-budgets.svg
aws-business-applications,aws-business-applications,aws,aws/aws-business-applications.svg
aws-certificate-manager,aws-certificate-manager,aws,aws/aws-certificate-manager.svg
